brand,model,color,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km,age
fiat,Tipo,black,18990.0,101.0,Manual,Petrol,5.4,23000.0,5.0
hyundai,i20,blue,11500.0,75.0,Manual,Petrol,5.1,106250.0,8.0
fiat,500,blue,17125.0,69.0,Manual,Petrol,5.3,10.0,3.0
hyundai,TUCSON,black,31950.0,177.0,Automatic,Petrol,7.6,24500.0,6.0
alfa-romeo,Romeo Spider,grey,16900.0,260.0,Manual,Petrol,11.5,132250.0,20.0
audi,TT RS,black,35999.0,360.0,Automatic,Petrol,8.5,71000.0,13.0
fiat,500,black,9600.0,69.0,Manual,Petrol,4.9,53000.0,10.0
bmw,740,black,98900.0,340.0,Automatic,Diesel,5.2,30500.0,5.0
jeep,Compass,white,42180.0,239.0,Automatic,Hybrid,2.0,10.0,3.0
land-rover,Rover Range Rover Velar,grey,45890.0,275.0,Automatic,Diesel,6.659999999999999,75566.0,7.0
ford,Fiesta,grey,10990.0,101.0,Unknown,Petrol,4.3,99000.0,9.0
audi,A4,brown,19900.0,190.0,Automatic,Diesel,5.1,42000.0,11.0
ford,Fiesta,blue,9200.0,95.0,Manual,Diesel,3.6,90919.0,9.0
ford,Tourneo Courier,black,10990.0,101.0,Manual,Petrol,5.3,85000.0,12.0
land-rover,Rover Range Rover Velar,grey,75900.0,551.0,Automatic,Petrol,11.8,26800.0,6.0
citroen,C4,white,6500.0,120.0,Manual,Diesel,3.8,219000.0,11.0
ford,Puma,blue,20990.0,155.0,Manual,Petrol,5.76,32900.0,7.0
kia,,black,26788.0,204.0,Automatic,Petrol,6.2,49800.0,7.0
land-rover,Rover Discovery Sport,black,38990.0,179.0,Automatic,Diesel,5.6,37350.0,7.0
kia,Sportage,grey,19981.0,136.0,Manual,Diesel,4.9,77981.0,8.0
ford,Focus,blue,10980.0,125.0,Manual,Petrol,4.8,112000.0,11.0
bmw,330,black,19999.0,184.0,Automatic,Hybrid,1.9,109650.0,9.0
ford,Transit,blue,63240.0,185.0,Manual,Diesel,5.9,10.0,4.0
audi,A7,black,26550.0,252.0,Automatic,Petrol,6.840000000000001,100000.0,11.0
bmw,520,grey,12990.0,190.0,Automatic,Diesel,4.6,198900.0,11.0
ford,EcoSport,grey,12999.0,125.0,Manual,Petrol,5.4,19790.0,10.0
land-rover,Rover Discovery Sport,grey,38844.0,241.0,Automatic,Diesel,7.0,72984.0,7.0
fiat,Tipo,grey,23990.0,99.0,Manual,Petrol,5.4,3000.0,4.0
maserati,Ghibli,black,36990.0,275.0,Automatic,Diesel,9.6,42664.0,10.0
audi,Q2,blue,39990.0,150.0,Automatic,Petrol,6.3,3150.0,3.0
kia,Sportage,white,20489.0,132.0,Manual,Petrol,6.3,40000.0,10.0
hyundai,KONA,red,21890.0,120.0,Manual,Petrol,6.1,40534.0,4.0
ford,Fiesta,white,19490.0,200.0,Manual,Petrol,6.0,40000.0,8.0
ford,Tourneo Custom,silver,51490.0,131.0,Automatic,Diesel,7.8,30.0,3.0
ford,Focus,silver,3790.0,109.0,Manual,Diesel,7.660000000000001,192208.0,18.0
audi,A3,black,17990.0,110.0,Manual,Petrol,4.9,88500.0,10.0
ford,S-Max,black,22991.0,190.0,Automatic,Diesel,5.8,119000.0,8.0
kia,Ceed SW / cee'd SW,white,17950.0,120.0,Manual,Petrol,5.2,35420.0,6.0
fiat,500,grey,15660.0,69.0,Manual,Petrol,4.9,96643.0,8.0
lamborghini,Aventador,black,829000.0,770.0,Automatic,Petrol,17.9,195.0,5.0
hyundai,iX35,grey,13990.0,166.0,Manual,Petrol,7.8,85872.0,11.0
chrysler,Pacifica,yellow,71990.0,291.0,Automatic,Petrol,8.7,30.0,4.0
ford,Mondeo,white,14990.0,165.0,Manual,Petrol,6.4,83000.0,8.0
hyundai,i20,grey,15999.0,84.0,Manual,Petrol,5.8,75.0,3.0
audi,RS6,grey,49750.0,560.0,Automatic,Petrol,9.8,140997.0,12.0
kia,XCeed,yellow,24980.0,204.0,Automatic,Petrol,5.720000000000001,53040.0,6.0
audi,S5,grey,41960.0,354.0,Automatic,Petrol,7.5,66139.0,9.0
bmw,440,red,37490.0,326.0,Automatic,Petrol,7.2,61280.0,7.0
audi,A6,black,21950.0,150.0,Automatic,Diesel,4.4,125000.0,9.0
bmw,125,black,10390.0,218.0,Manual,Petrol,9.1,210250.0,18.0
bmw,X5,grey,41780.0,381.0,Automatic,Diesel,6.5,148200.0,11.0
fiat,500C,black,16500.0,69.0,Manual,Hybrid,3.9,6700.0,6.0
ford,Focus,brown,18490.0,182.0,Manual,Petrol,5.4,58700.0,7.0
hyundai,i20,black,3250.0,77.0,Manual,Petrol,5.2,192746.0,16.0
kia,Ceed SW / cee'd SW,black,15980.0,136.0,Automatic,Diesel,4.2,76055.0,11.0
dacia,Duster,green,8990.0,107.0,Manual,Diesel,5.3,69672.0,16.0
fiat,500,white,11000.0,69.0,Manual,Petrol,4.9,32246.0,8.0
kia,Ceed / cee'd,black,5990.0,90.0,Manual,Petrol,5.8,120000.0,14.0
lamborghini,Aventador,white,569000.0,751.0,Automatic,Petrol,14.52,5600.0,10.0
jaguar,E-Pace,grey,30850.0,200.0,Automatic,Petrol,8.1,23200.0,6.0
citroen,Berlingo,grey,36990.0,131.0,Automatic,Electric,5.360000000000001,51.0,3.0
audi,A4,blue,2490.0,179.0,Manual,Diesel,6.9,372633.0,19.0
mazda,CX-5,white,22750.0,194.0,Automatic,Petrol,8.0,91000.0,8.0
bmw,320,grey,15999.0,184.0,Automatic,Petrol,6.2,130000.0,12.0
audi,A4,silver,35810.0,163.0,Automatic,Diesel,4.8,7589.0,5.0
ford,Fiesta,black,13879.0,125.0,Manual,Petrol,4.3,62800.0,9.0
audi,TT,silver,8500.0,200.0,Manual,Petrol,7.7,206000.0,17.0
ford,Focus,silver,23900.0,155.0,Manual,Hybrid,5.2,50.0,4.0
dacia,Sandero,grey,6499.0,84.0,Manual,Petrol,7.3,99000.0,14.0
audi,A4,grey,7300.0,160.0,Manual,Petrol,7.1,199842.0,16.0
land-rover,Rover Discovery Sport,grey,18990.0,150.0,Manual,Diesel,4.7,118500.0,10.0
ford,Edge,white,34990.0,238.0,Automatic,Diesel,7.1,61797.0,7.0
alfa-romeo,Romeo Giulia,blue,44500.0,280.0,Automatic,Petrol,7.0,45000.0,6.0
bmw,325,black,12950.0,192.0,Manual,Petrol,9.8,154000.0,25.0
ford,Kuga,grey,13999.0,140.0,Manual,Diesel,5.3,132000.0,12.0
bmw,Z4,red,49640.0,340.0,Automatic,Petrol,7.2,16700.0,6.0
ford,C-Max,black,4399.0,150.0,Manual,Petrol,6.4,215000.0,14.0
audi,S3,yellow,36820.0,310.0,Automatic,Petrol,7.4,7759.0,4.0
audi,A3,bronze,16830.0,110.0,Automatic,Petrol,5.4,100976.0,9.0
citroen,C-Zero,white,11990.0,68.0,Automatic,Electric,5.260000000000001,26700.0,7.0
daihatsu,Cuore,blue,1490.0,69.0,Manual,Petrol,4.4,225800.0,17.0
audi,Q3,black,31890.0,150.0,Automatic,Petrol,6.859999999999999,49990.0,7.0
ford,Fiesta,white,14450.0,101.0,Manual,Petrol,5.1,18897.0,7.0
audi,A3,black,6990.0,140.0,Automatic,Diesel,5.9,90000.0,21.0
jeep,Grand Cherokee,grey,37980.0,250.0,Automatic,Diesel,7.5,74881.0,7.0
ford,Kuga,grey,18499.0,150.0,Manual,Diesel,4.7,58205.0,10.0
ford,Kuga,silver,26350.0,150.0,Manual,Petrol,5.5,23489.0,5.0
ford,Fiesta,red,12480.0,82.0,Manual,Petrol,5.6,78672.0,14.0
audi,A5,red,32890.0,190.0,Automatic,Diesel,5.2,53031.0,7.0
audi,A3,silver,7690.0,102.0,Manual,Petrol,6.9,107000.0,17.0
audi,TT,black,8490.0,150.0,Manual,Petrol,8.3,153500.0,24.0
citroen,DS3,white,12850.0,131.0,Manual,Petrol,4.3,66680.0,10.0
ford,Focus,blue,2999.0,101.0,Manual,Petrol,7.3,127071.0,24.0
dacia,Spring,white,16900.0,45.0,Unknown,Electric,5.06,9000.0,4.0
bmw,116,white,7999.0,122.0,Manual,Petrol,6.1,148950.0,17.0
dacia,Duster,grey,14790.0,109.0,Manual,Diesel,4.4,90343.0,8.0
ford,Focus,red,16890.0,185.0,Manual,Diesel,4.2,85175.0,8.0
bmw,540,blue,21890.0,320.0,Automatic,Diesel,5.2,101085.0,8.0
citroen,C1,white,9460.0,82.0,Manual,Petrol,4.3,66192.0,8.0
bmw,340,white,34000.0,326.0,Automatic,Petrol,7.4,75000.0,9.0
kia,Ceed SW / cee'd SW,silver,28890.0,160.0,Manual,Petrol,5.8,500.0,4.0
hyundai,i30,red,27990.0,160.0,Automatic,Petrol,5.4,12000.0,5.0
ford,Galaxy,white,45470.0,150.0,Automatic,Hybrid,6.5,750.0,3.0
audi,A3,silver,24999.0,204.0,Automatic,Petrol,5.88,75000.0,9.0
ferrari,F430,red,495000.0,510.0,Semi-automatic,Petrol,13.9,32000.0,16.0
citroen,Jumper,white,21975.0,140.0,Manual,Diesel,6.5,176000.0,6.0
bmw,535,grey,22800.0,306.0,Automatic,Petrol,7.7,128100.0,15.0
kia,Sportage,grey,14200.0,132.0,Manual,Petrol,6.7,142000.0,9.0
ford,Puma,blue,21890.0,155.0,Manual,Petrol,4.4,26748.0,6.0
ford,Focus,blue,28700.0,280.0,Manual,Petrol,7.9,52000.0,7.0
bmw,X5,black,9999.0,218.0,Automatic,Diesel,9.4,169800.0,20.0
kia,Picanto,red,16490.0,84.0,Manual,Petrol,4.6,0.0,3.0
hyundai,KONA,blue,30799.0,204.0,Automatic,Electric,6.24,32453.0,6.0
mazda,6,red,18950.0,165.0,Manual,Petrol,5.9,99851.0,10.0
audi,A4,brown,23900.0,150.0,Automatic,Diesel,4.6,82000.0,8.0
fiat,500X,red,19890.0,120.0,Manual,Petrol,6.0,334.0,6.0
ford,Galaxy,blue,45690.0,190.0,Automatic,Hybrid,6.4,59.0,3.0
audi,A1,green,25930.0,200.0,Automatic,Petrol,6.0,71919.0,6.0
citroen,Jumper,grey,27945.0,140.0,Manual,Diesel,6.5,52970.0,5.0
hyundai,KONA,grey,28490.0,141.0,Automatic,Petrol,4.3,15000.0,3.0
fiat,500,white,13900.0,69.0,Manual,Petrol,5.5,39050.0,6.0
citroen,Berlingo,white,13490.0,99.0,Manual,Diesel,4.3,58305.0,10.0
audi,e-tron,red,60985.0,313.0,Automatic,Electric,7.06,9000.0,4.0
bmw,430,blue,28900.0,252.0,Automatic,Petrol,6.3,109800.0,10.0
jaguar,F-Type,black,52900.0,381.0,Automatic,Petrol,8.6,28989.0,8.0
bmw,X1,black,18950.0,150.0,Automatic,Petrol,8.4,20400.0,11.0
bmw,X1,black,35990.0,192.0,Automatic,Petrol,6.7,34455.0,6.0
audi,A4,grey,33499.0,204.0,Automatic,Petrol,6.4,33099.0,6.0
audi,A3,black,17370.0,125.0,Automatic,Petrol,4.9,115000.0,10.0
kia,Rio,yellow,17490.0,120.0,Manual,Petrol,5.2,36690.0,7.0
bmw,430,black,20500.0,258.0,Automatic,Diesel,5.1,142000.0,11.0
audi,A3,grey,11770.0,122.0,Manual,Petrol,5.2,88300.0,13.0
ford,Transit Connect,white,7950.0,75.0,Manual,Diesel,4.4,104000.0,12.0
hyundai,i10,blue,14990.0,67.0,Manual,Petrol,4.5,20.0,3.0
audi,A4,blue,27450.0,252.0,Automatic,Petrol,6.1,53217.0,8.0
dacia,Jogger,white,20450.0,91.0,Manual,LPG,6.0,12.0,3.0
citroen,C5 Aircross,blue,24990.0,181.0,Automatic,Petrol,5.8,43900.0,7.0
ford,Tourneo Connect,grey,36990.0,122.0,Manual,Diesel,5.5,10.0,3.0
dacia,Duster,grey,10850.0,125.0,Manual,Petrol,5.12,84928.0,11.0
ford,Mustang,black,9999.0,303.0,Automatic,Petrol,9.8,149876.0,10.0
hyundai,KONA,grey,31999.0,204.0,Automatic,Electric,5.96,11500.0,4.0
bmw,530,blue,2200.0,193.0,Manual,Diesel,7.3,346000.0,24.0
land-rover,Rover Range Rover Sport,black,84750.0,525.0,Automatic,Petrol,12.3,70800.0,6.0
ford,Fiesta,red,16990.0,125.0,Manual,Petrol,4.6,55261.0,7.0
land-rover,Rover Range Rover Sport,black,67890.0,306.0,Automatic,Diesel,7.5,105000.0,7.0
citroen,C3 Aircross,grey,22590.0,131.0,Automatic,Petrol,6.019999999999999,5000.0,4.0
hyundai,TUCSON,grey,14650.0,116.0,Manual,Diesel,4.6,104000.0,10.0
jeep,Renegade,black,23890.0,120.0,Manual,Petrol,6.1,50.0,4.0
dacia,Duster,grey,18880.0,91.0,Manual,Petrol,5.6,10.0,4.0
land-rover,Rover Range Rover Evoque,red,64999.0,204.0,Automatic,Diesel,5.3,1000.0,3.0
audi,A4,blue,32990.0,190.0,Automatic,Diesel,4.8,39897.0,9.0
bmw,318,silver,34900.0,156.0,Automatic,Petrol,5.3,11000.0,4.0
fiat,500,white,5300.0,69.0,Manual,Petrol,5.1,134000.0,18.0
audi,Q5,black,10800.0,170.0,Manual,Diesel,6.2,235000.0,16.0
ford,Focus,orange,23499.0,190.0,Manual,Diesel,4.9,110000.0,6.0
mazda,CX-5,white,28990.0,194.0,Automatic,Petrol,7.4,58731.0,8.0
audi,A3,white,8900.0,125.0,Automatic,Petrol,5.9,178000.0,17.0
fiat,500C,black,12480.0,69.0,Manual,Petrol,4.9,53852.0,8.0
audi,A3,black,19350.0,150.0,Automatic,Diesel,4.6,90000.0,9.0
audi,A1,violet,11950.0,86.0,Manual,Petrol,5.1,63000.0,11.0
hyundai,iX35,white,11499.0,135.0,Manual,Petrol,6.8,67977.0,14.0
jaguar,I-Pace,white,44900.0,400.0,Automatic,Electric,8.28,15350.0,7.0
ford,Transit Custom,blue,39350.0,131.0,Manual,Diesel,7.3,10.0,3.0
audi,A3,silver,22890.0,116.0,Automatic,Petrol,5.2,49860.0,8.0
kia,Niro,green,37979.0,204.0,Automatic,Electric,6.3,16347.0,4.0
hyundai,i10,white,6490.0,67.0,Manual,Petrol,4.7,82000.0,11.0
audi,Q5,red,44491.0,286.0,Automatic,Diesel,7.279999999999999,62290.0,7.0
cadillac,XT4,silver,52650.0,230.0,Automatic,Petrol,8.8,10.0,3.0
fiat,500C,blue,14495.0,69.0,Manual,Petrol,5.5,51200.0,7.0
fiat,Fiorino,white,8000.0,75.0,Semi-automatic,Diesel,6.08,231000.0,9.0
fiat,Doblo,white,5990.0,90.0,Manual,Diesel,5.3,124000.0,15.0
hyundai,TUCSON,white,25860.0,177.0,Automatic,Petrol,7.1,99102.0,8.0
audi,A6,black,9900.0,239.0,Automatic,Diesel,7.1,226000.0,15.0
hyundai,i30,red,18990.0,140.0,Automatic,Petrol,5.4,79752.0,9.0
hyundai,i30,blue,12490.0,120.0,Manual,Petrol,5.54,72957.0,9.0
audi,A6,blue,19990.0,313.0,Automatic,Diesel,6.3,210000.0,13.0
bmw,116,blue,6500.0,116.0,Manual,Diesel,4.5,181000.0,16.0
bmw,320,black,52900.0,184.0,Automatic,Petrol,7.619999999999999,6650.0,3.0
dodge,RAM,black,39900.0,401.0,Automatic,Petrol,15.3,59900.0,8.0
hyundai,i30,silver,11400.0,101.0,Manual,Other,5.180000000000001,95000.0,10.0
audi,A3,brown,12600.0,150.0,Manual,Diesel,4.1,198470.0,12.0
audi,Q5,white,21900.0,258.0,Automatic,Diesel,6.3,166000.0,11.0
bmw,X3,black,4500.0,218.0,Manual,Diesel,7.9,308380.0,20.0
jaguar,F-Type,grey,46490.0,340.0,Automatic,Petrol,9.8,20000.0,6.0
audi,A3,red,13900.0,122.0,Automatic,Petrol,4.9,103000.0,12.0
ford,Mustang,yellow,58790.0,460.0,Manual,Petrol,12.6,4875.0,5.0
fiat,500C,red,14990.0,69.0,Manual,Petrol,4.720000000000001,17882.0,5.0
kia,Rio,black,23990.0,101.0,Automatic,Petrol,5.7,15.0,3.0
mazda,5,blue,16900.0,150.0,Manual,Petrol,6.9,61000.0,13.0
audi,A5,white,47499.0,204.0,Automatic,Petrol,6.180000000000001,17000.0,5.0
ford,Puma,grey,25700.0,155.0,Manual,Petrol,4.5,21000.0,5.0
ford,Fiesta,silver,9990.0,86.0,Manual,Diesel,6.22,147880.0,8.0
land-rover,Rover Discovery,black,35930.0,256.0,Automatic,Diesel,8.0,128200.0,11.0
audi,A3,red,13999.0,150.0,Automatic,Hybrid,1.7,207950.0,11.0
kia,Ceed / cee'd,white,27499.0,141.0,Automatic,Hybrid,1.1,9653.0,5.0
ford,Focus,black,3100.0,101.0,Manual,Petrol,6.7,191800.0,17.0
audi,A6,white,33890.0,272.0,Automatic,Diesel,5.3,79900.0,8.0
bmw,325,blue,11000.0,218.0,Automatic,Petrol,9.0,185000.0,19.0
hyundai,i30,white,17990.0,116.0,Automatic,Diesel,4.779999999999999,90879.0,7.0
ford,Puma,red,28480.0,125.0,Automatic,Petrol,5.0,50.0,3.0
fiat,Tipo,white,16950.0,120.0,Manual,Petrol,7.2,46583.0,6.0
bmw,M5,blue,74990.0,620.0,Automatic,Petrol,10.5,82051.0,7.0
hyundai,IONIQ 5,grey,46290.0,306.0,Automatic,Electric,5.22,4075.0,5.0
audi,A6,black,11500.0,239.0,Automatic,Diesel,6.7,249000.0,15.0
jeep,Renegade,black,50300.0,190.0,Automatic,Petrol,2.1,5000.0,3.0
bmw,520,black,13500.0,184.0,Automatic,Diesel,4.7,202000.0,15.0
audi,Q3,red,47980.0,150.0,Automatic,Diesel,4.8,9000.0,4.0
ford,,blue,4000.0,136.0,Automatic,Diesel,6.88,230230.0,17.0
citroen,C3 Aircross,beige,21900.0,120.0,Automatic,Diesel,4.1,47814.0,5.0
kia,Carens,silver,15990.0,135.0,Manual,Petrol,6.2,89992.0,8.0
ford,Fiesta,blue,12950.0,182.0,Manual,Petrol,5.2,89981.0,11.0
fiat,500,grey,15680.0,69.0,Manual,Petrol,4.779999999999999,30156.0,6.0
ford,Focus,blue,17770.0,150.0,Manual,Diesel,4.2,82500.0,6.0
fiat,500,red,25900.0,179.0,Manual,Petrol,6.9,12106.0,5.0
audi,A8,grey,25900.0,262.0,Automatic,Diesel,6.0,227000.0,11.0
bmw,118,silver,11999.0,143.0,Manual,Diesel,4.4,124990.0,15.0
kia,Ceed SW / cee'd SW,grey,15990.0,99.0,Manual,Petrol,6.0,30507.0,8.0
ford,Mustang,grey,58980.0,449.0,Automatic,Petrol,12.0,100.0,3.0
audi,A3,grey,4900.0,105.0,Manual,Diesel,4.3,364300.0,16.0
fiat,Panda,red,2599.0,54.0,Manual,Petrol,5.0,87562.0,17.0
audi,S1,white,23500.0,231.0,Manual,Petrol,7.1,45500.0,9.0
ford,Transit Custom,grey,31990.0,131.0,Manual,Diesel,6.1,65864.0,9.0
hyundai,KONA,grey,31300.0,136.0,Automatic,Electric,5.9,5500.0,4.0
hyundai,iX20,white,8500.0,125.0,Manual,Petrol,6.4,93000.0,15.0
ford,Focus,silver,1440.0,101.0,Manual,Petrol,6.7,200000.0,19.0
ford,Focus,white,16999.0,125.0,Manual,Petrol,4.4,37500.0,8.0
dacia,Duster,black,18480.0,150.0,Manual,Petrol,6.0,47300.0,7.0
dacia,Logan,black,24044.0,91.0,Automatic,Petrol,5.2,9.0,3.0
bmw,320,grey,24950.0,190.0,Automatic,Diesel,5.1,76250.0,7.0
bmw,540,grey,33999.0,340.0,Automatic,Petrol,6.5,105000.0,9.0
ford,Galaxy,white,21990.0,165.0,Manual,Petrol,7.7,101100.0,6.0
bmw,420,green,56080.0,190.0,Automatic,Diesel,5.1,1800.0,4.0
bmw,225,black,20280.0,224.0,Automatic,Hybrid,4.38,32387.0,8.0
ford,Focus,blue,19990.0,125.0,Manual,Petrol,4.76,51084.0,6.0
kia,Picanto,beige,19990.0,84.0,Automatic,Petrol,5.1,10.0,3.0
hyundai,i20,bronze,18770.0,101.0,Manual,Petrol,3.9,15550.0,5.0
bmw,X6 M,black,26499.0,555.0,Automatic,Petrol,14.3,157000.0,15.0
ford,Mondeo,blue,13349.0,150.0,Manual,Diesel,4.2,131403.0,11.0
fiat,Doblo,white,21490.0,105.0,Manual,Diesel,5.1,15671.0,5.0
audi,Q3,orange,41480.0,150.0,Automatic,Petrol,6.7,32900.0,6.0
hyundai,i10,blue,4990.0,67.0,Manual,Petrol,4.7,65000.0,13.0
bmw,630,black,14890.0,258.0,Automatic,Petrol,9.5,173000.0,22.0
citroen,Jumpy,white,15980.0,128.0,Manual,Diesel,7.1,73500.0,12.0
kia,Sportage,white,28980.0,150.0,Manual,Petrol,5.78,3913.0,4.0
alfa-romeo,Romeo Tonale,black,32199.0,156.0,Automatic,Petrol,5.9,5.0,3.0
audi,Q3,silver,26500.0,150.0,Manual,Diesel,4.4,98000.0,10.0
audi,A4,black,10000.0,170.0,Manual,Diesel,5.5,129000.0,16.0
maserati,3200,red,23000.0,368.0,Automatic,Petrol,16.2,55800.0,27.0
bmw,318,silver,1800.0,116.0,Manual,Petrol,8.0,224000.0,28.0
ford,Focus,red,21500.0,150.0,Automatic,Petrol,5.9,33500.0,7.0
ford,Puma,grey,26950.0,155.0,Unknown,Petrol,4.4,20200.0,6.0
ferrari,488,yellow,470050.0,721.0,Automatic,Petrol,12.4,12000.0,7.0
ford,Transit Courier,white,14500.0,101.0,Manual,Petrol,5.4,23900.0,8.0
jeep,Grand Cherokee,black,43990.0,250.0,Automatic,Diesel,7.0,39990.0,7.0
land-rover,Rover Range Rover Sport,black,37900.0,306.0,Automatic,Diesel,7.0,156200.0,11.0
hyundai,i30,silver,15400.0,120.0,Manual,Petrol,5.5,69600.0,7.0
ford,S-Max,blue,3600.0,140.0,Manual,Diesel,6.4,256000.0,19.0
hyundai,i30,black,1200.0,116.0,Manual,Diesel,4.7,153000.0,16.0
kia,Sportage,white,31570.0,150.0,Automatic,Petrol,5.7,40.0,3.0
audi,A4,silver,26690.0,150.0,Manual,Petrol,6.0,24034.0,7.0
audi,A4,grey,20999.0,190.0,Manual,Diesel,4.7,154000.0,11.0
bmw,X1,black,34890.0,220.0,Automatic,Hybrid,1.9,25178.0,4.0
audi,A4,silver,25950.0,190.0,Automatic,Diesel,4.6,46392.0,7.0
mazda,3,grey,9999.0,101.0,Manual,Petrol,5.1,125258.0,11.0
fiat,500e,violet,26840.0,118.0,Automatic,Electric,6.24,50.0,4.0
bmw,X5,grey,31999.0,313.0,Automatic,Diesel,7.0,181500.0,10.0
bmw,530,silver,6100.0,231.0,Automatic,Diesel,8.2,237000.0,21.0
bmw,525,blue,7490.0,197.0,Manual,Diesel,6.9,220618.0,16.0
citroen,C4,grey,10990.0,82.0,Automatic,Petrol,4.3,95472.0,9.0
fiat,500,red,16990.0,71.0,Manual,Hybrid,4.6,99.0,4.0
ford,Focus,silver,18990.0,125.0,Automatic,Petrol,5.8,37067.0,7.0
bmw,Z4,silver,41850.0,197.0,Automatic,Petrol,5.8,30000.0,7.0
bmw,320,blue,19990.0,184.0,Automatic,Petrol,5.5,49652.0,7.0
audi,A5,black,15490.0,245.0,Automatic,Diesel,5.9,192000.0,13.0
mazda,CX-3,white,21990.0,150.0,Automatic,Petrol,6.3,46980.0,8.0
audi,e-tron,red,59860.0,408.0,Automatic,Electric,8.76,9583.0,4.0
land-rover,Rover Range Rover Velar,grey,105490.0,250.0,Automatic,Petrol,7.8,32400.0,7.0
mazda,2,silver,3999.0,75.0,Manual,Petrol,5.4,129316.0,17.0
audi,A4,white,25449.0,190.0,Automatic,Diesel,4.1,125000.0,8.0
ford,Focus,orange,27990.0,280.0,Manual,Petrol,6.62,49370.0,6.0
dacia,Sandero,black,12500.0,90.0,Manual,Petrol,5.1,10500.0,7.0
bmw,520,black,28190.0,190.0,Automatic,Diesel,4.1,46500.0,7.0
fiat,Doblo,blue,38480.0,136.0,Automatic,Electric,4.720000000000001,10.0,3.0
audi,Q3,silver,18900.0,140.0,Automatic,Diesel,5.7,97500.0,11.0
ford,Focus,black,13299.0,120.0,Manual,Diesel,3.8,36000.0,9.0
audi,A4,black,23490.0,190.0,Manual,Diesel,3.9,43000.0,9.0
bmw,525,silver,7490.0,197.0,Manual,Diesel,6.6,208000.0,18.0
ferrari,458,yellow,180000.0,566.0,Automatic,Petrol,13.3,92721.0,13.0
citroen,C5 Aircross,white,33088.0,131.0,Automatic,Diesel,5.5,10.0,3.0
dacia,,silver,24985.0,110.0,Manual,Petrol,5.6,15.0,4.0
ford,Transit Custom,black,64840.0,185.0,Automatic,Diesel,6.9,32.0,4.0
ford,Focus,silver,12480.0,95.0,Manual,Diesel,5.24,80500.0,9.0
audi,A3,silver,18000.0,116.0,Automatic,Diesel,6.88,670000.0,9.0
dodge,Challenger,white,44500.0,492.0,Automatic,Petrol,15.5,12750.0,7.0
audi,A3,black,10990.0,150.0,Manual,Diesel,4.2,242560.0,13.0
alfa-romeo,Romeo Tonale,red,29970.0,156.0,Automatic,Petrol,5.9,14.0,4.0
jeep,Renegade,bronze,24900.0,179.0,Automatic,Petrol,8.0,40200.0,6.0
ford,Ka/Ka+,black,4999.0,69.0,Manual,Petrol,5.1,125842.0,16.0
land-rover,Rover Discovery Sport,grey,69500.0,204.0,Automatic,Diesel,5.3,1000.0,3.0
ford,Tourneo Custom,blue,54990.0,170.0,Automatic,Diesel,8.8,10.0,3.0
land-rover,Rover Range Rover,black,104840.0,400.0,Automatic,Hybrid,9.5,25855.0,6.0
audi,A6,white,27900.0,190.0,Automatic,Diesel,4.5,62000.0,10.0
ford,Mondeo,grey,18990.0,150.0,Automatic,Diesel,4.8,88200.0,9.0
bmw,335,black,12000.0,306.0,Automatic,Petrol,9.5,205000.0,18.0
kia,ProCeed / pro_cee'd,grey,31999.0,204.0,Automatic,Petrol,6.5,26000.0,4.0
ford,Fiesta,red,39890.0,140.0,Unknown,Petrol,5.2,15000.0,7.0
audi,S4,silver,17999.0,344.0,Automatic,Petrol,12.6,180021.0,20.0
audi,A5,black,34850.0,218.0,Automatic,Diesel,4.5,93500.0,8.0
bmw,320,blue,14250.0,184.0,Automatic,Diesel,4.9,218000.0,13.0
citroen,C5 Aircross,blue,20990.0,131.0,Manual,Petrol,5.3,20456.0,7.0
honda,HR-V,black,35990.0,107.0,Automatic,Hybrid,5.4,560.0,3.0
ford,S-Max,white,21850.0,190.0,Manual,Diesel,5.1,99762.0,8.0
audi,Q3,white,25900.0,230.0,Automatic,Petrol,7.6,109000.0,7.0
fiat,Fullback,white,29680.0,181.0,Manual,Diesel,6.9,28960.0,8.0
audi,A6,black,47988.0,265.0,Automatic,Petrol,7.6,10.0,3.0
audi,Q5,black,13990.0,211.0,Manual,Petrol,8.4,109000.0,17.0
bmw,320,blue,25799.0,184.0,Automatic,Diesel,4.7,224230.0,12.0
ford,Focus,red,14490.0,101.0,Manual,Petrol,4.6,89650.0,9.0
bmw,X4,grey,32490.0,258.0,Automatic,Diesel,5.4,84750.0,11.0
audi,A6,blue,19995.0,313.0,Automatic,Diesel,6.3,227000.0,13.0
hyundai,iX35,black,12790.0,163.0,Automatic,Petrol,8.0,68000.0,15.0
audi,TT,grey,19900.0,211.0,Automatic,Petrol,7.4,119950.0,13.0
ford,Fiesta,black,20999.0,82.0,Manual,Petrol,5.2,138606.0,14.0
audi,A5,silver,10950.0,160.0,Manual,Petrol,7.4,179279.0,15.0
ford,Kuga,black,9800.0,140.0,Manual,Diesel,5.9,190401.0,16.0
ford,Fiesta,blue,1590.0,69.0,Manual,Petrol,6.2,153000.0,22.0
ford,Mondeo,silver,24990.0,188.0,Automatic,Hybrid,4.3,21100.0,5.0
dacia,Sandero,red,20545.0,91.0,Manual,Petrol,5.3,11.0,3.0
audi,Q3,black,11990.0,211.0,Automatic,Petrol,7.7,200000.0,14.0
