brand,model,color,price_in_euro,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,mileage_in_km,age
audi,A4,blue,27890.0,190.0,Automatic,Petrol,6.1,63850.0,8.0
audi,A3,silver,22940.0,150.0,Manual,Petrol,5.5,30589.0,7.0
bmw,X3,black,18700.0,184.0,Manual,Petrol,7.4,44500.0,11.0
dacia,Duster,blue,22770.0,150.0,Manual,Petrol,6.1,20290.0,4.0
ford,EcoSport,white,12999.0,125.0,Manual,Petrol,5.4,46800.0,9.0
mazda,CX-5,grey,24790.0,165.0,Manual,Petrol,6.0,50789.0,8.0
bmw,i3,blue,21300.0,170.0,Automatic,Electric,6.640000000000001,72300.0,10.0
bmw,X6,white,39999.0,381.0,Automatic,Diesel,7.8,180787.0,11.0
ford,F 150,blue,44990.0,390.0,Automatic,Petrol,6.139999999999999,107125.0,10.0
audi,A4,black,12990.0,211.0,Manual,Petrol,6.6,107068.0,17.0
ford,Kuga,grey,19890.0,150.0,Manual,Diesel,7.5,56500.0,7.0
jeep,Compass,grey,22288.0,140.0,Manual,Petrol,6.8,50500.0,7.0
mazda,CX-3,white,17590.0,120.0,Automatic,Petrol,5.8,87800.0,8.0
fiat,500C,grey,12799.0,69.0,Manual,Petrol,4.9,47500.0,9.0
jeep,Compass,red,37980.0,179.0,Automatic,Hybrid,5.359999999999999,20456.0,4.0
ford,Edge,blue,15999.0,179.0,Manual,Diesel,5.8,189537.0,9.0
bmw,X3,silver,12290.0,258.0,Automatic,Diesel,6.0,284858.0,14.0
dacia,Logan,blue,13950.0,95.0,Manual,Diesel,3.9,78300.0,7.0
fiat,Tipo,black,22899.0,129.0,Manual,Diesel,4.8,10.0,3.0
audi,SQ5,black,178000.0,354.0,Automatic,Petrol,8.3,18500.0,8.0
audi,RS Q8,green,139980.0,600.0,Automatic,Petrol,12.1,53617.0,5.0
kia,XCeed,grey,31490.0,160.0,Automatic,Petrol,6.1,50.0,4.0
kia,Niro,grey,46950.0,204.0,Automatic,Electric,6.92,100.0,4.0
hyundai,TUCSON,white,23500.0,136.0,Automatic,Diesel,4.9,87300.0,7.0
fiat,500,green,12999.0,69.0,Manual,Petrol,4.1,22646.0,6.0
bmw,535,white,16666.0,299.0,Automatic,Diesel,6.7,204895.0,15.0
ford,Fiesta,grey,17890.0,101.0,Automatic,Petrol,5.5,19106.0,6.0
ferrari,F8 Tributo,red,299900.0,721.0,Automatic,Petrol,12.1,2300.0,5.0
kia,Sorento,black,19990.0,200.0,Manual,Diesel,6.1,101000.0,11.0
hyundai,KONA,white,27190.0,136.0,Automatic,Electric,4.0,24083.0,5.0
ford,Kuga,grey,22900.0,150.0,Manual,Petrol,6.3,39000.0,9.0
ford,Focus,grey,4000.0,90.0,Manual,Diesel,4.5,240000.0,16.0
citroen,Berlingo,grey,24500.0,120.0,Manual,Diesel,5.239999999999999,30111.0,8.0
bmw,X1,silver,28296.0,192.0,Automatic,Petrol,6.0,14554.0,7.0
audi,A4 allroad,black,29480.0,272.0,Automatic,Diesel,5.5,110286.0,9.0
lamborghini,Aventador,black,749999.0,770.0,Automatic,Petrol,17.9,3348.0,6.0
kia,Sportage,white,19479.0,177.0,Manual,Petrol,6.56,96525.0,8.0
hyundai,TUCSON,silver,24970.0,177.0,Automatic,Petrol,7.6,68210.0,7.0
land-rover,Rover Range Rover,white,94850.0,525.0,Automatic,Petrol,12.7,97500.0,7.0
kia,Stonic,grey,14450.0,99.0,Manual,Petrol,5.5,45100.0,8.0
fiat,500,grey,15950.0,69.0,Automatic,Petrol,5.2,13376.0,6.0
ford,Transit Custom,white,61700.0,185.0,Automatic,Diesel,8.48,30070.0,5.0
ford,Mondeo,silver,7600.0,150.0,Manual,Diesel,4.4,291000.0,9.0
ford,Kuga,grey,14499.0,120.0,Automatic,Diesel,4.8,148200.0,9.0
bmw,118,brown,5900.0,143.0,Manual,Diesel,4.5,278040.0,16.0
bmw,M4,white,75990.0,510.0,Automatic,Petrol,10.2,73736.0,5.0
jeep,Renegade,black,24890.0,151.0,Automatic,Petrol,6.2,47500.0,7.0
hyundai,i30,grey,21788.0,120.0,Manual,Petrol,5.9,1200.0,4.0
bmw,120,orange,18849.0,190.0,Automatic,Diesel,4.5,38428.0,8.0
kia,Ceed / cee'd,silver,23400.0,101.0,Manual,Petrol,5.2,3500.0,5.0
ford,F 150,grey,39999.0,364.0,Automatic,Petrol,6.6,99000.0,11.0
bmw,Z4,white,38680.0,197.0,Automatic,Petrol,6.0,40700.0,7.0
hyundai,i20,silver,9490.0,75.0,Manual,Petrol,4.8,39420.0,11.0
bmw,520,black,15799.0,184.0,Automatic,Diesel,4.9,172000.0,13.0
audi,A6,grey,42890.0,326.0,Automatic,Diesel,5.8,39200.0,8.0
bmw,X3 M,black,42490.0,326.0,Automatic,Diesel,6.4,65000.0,7.0
dacia,Duster,blue,13688.0,114.0,Manual,Petrol,6.4,25442.0,8.0
hyundai,KONA,red,21690.0,120.0,Manual,Petrol,5.3,2999.0,3.0
bmw,X4,grey,44480.0,286.0,Automatic,Diesel,5.6,92400.0,5.0
bmw,530,silver,41999.0,252.0,Automatic,Hybrid,1.8,14264.0,7.0
kia,Ceed / cee'd,silver,8950.0,90.0,Manual,Petrol,5.8,60000.0,14.0
bmw,X3,black,8990.0,286.0,Automatic,Diesel,7.8,237990.0,19.0
ford,Fiesta,red,13390.0,86.0,Manual,Diesel,3.5,34500.0,8.0
mazda,6,white,12999.0,163.0,Manual,Diesel,5.4,210000.0,15.0
land-rover,Rover Range Rover Sport,black,76750.0,306.0,Automatic,Diesel,9.4,73100.0,7.0
audi,A4,black,8000.0,177.0,Manual,Petrol,6.6,251500.0,16.0
audi,Q5,white,19950.0,170.0,Automatic,Diesel,6.8,143300.0,16.0
audi,Q2,black,18900.0,150.0,Manual,Petrol,5.8,106706.0,8.0
citroen,Spacetourer,black,38989.0,179.0,Automatic,Diesel,5.5,24000.0,7.0
audi,A5,blue,25799.0,252.0,Automatic,Petrol,6.3,87000.0,9.0
bmw,520,blue,22899.0,190.0,Automatic,Diesel,4.5,87100.0,10.0
kia,XCeed,white,34990.0,136.0,Automatic,Diesel,4.9,15.0,3.0
audi,A4,blue,7800.0,120.0,Manual,Diesel,5.1,230000.0,15.0
fiat,Ducato,black,39500.0,145.0,Manual,Diesel,7.9799999999999995,76295.0,16.0
ford,Mondeo,grey,12600.0,150.0,Automatic,Diesel,4.9,228900.0,11.0
audi,A1,black,11900.0,86.0,Manual,Petrol,5.1,135000.0,13.0
hyundai,i30,silver,19950.0,120.0,Manual,Hybrid,4.4,11845.0,4.0
kia,Sportage,black,24490.0,177.0,Manual,Petrol,8.1,49990.0,7.0
bmw,320,black,32990.0,190.0,Automatic,Diesel,4.5,43100.0,5.0
alfa-romeo,Romeo Giulia,grey,33950.0,280.0,Automatic,Petrol,7.5200000000000005,18291.0,6.0
mazda,CX-5,white,17150.0,175.0,Automatic,Diesel,5.5,115000.0,11.0
hyundai,i10,silver,13600.0,67.0,Manual,Petrol,4.5,23000.0,4.0
audi,TT RS,black,64890.0,400.0,Automatic,Petrol,8.2,23201.0,9.0
hyundai,i30,grey,18450.0,140.0,Automatic,Petrol,5.5,81519.0,8.0
bmw,135,grey,24490.0,320.0,Automatic,Petrol,7.8,90000.0,13.0
audi,Q7,black,43900.0,272.0,Automatic,Diesel,6.2,105000.0,9.0
bmw,X1,white,28990.0,192.0,Automatic,Petrol,6.0,60895.0,6.0
ford,Focus,blue,11900.0,125.0,Automatic,Petrol,5.5,118000.0,8.0
hyundai,i10,red,6990.0,67.0,Manual,Petrol,4.7,74462.0,11.0
bmw,318,blue,3400.0,143.0,Manual,Petrol,7.6,224905.0,23.0
bentley,Continental,gold,317950.0,551.0,Automatic,Petrol,11.7,1923.0,3.0
maserati,Ghibli,grey,64444.0,349.0,Automatic,Petrol,11.0,43300.0,6.0
bentley,Mulsanne,green,89900.0,513.0,Automatic,Petrol,16.9,82000.0,13.0
