Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
51873,dodge,Dodge Challenger,black,02/2022,2022,52490,280,381,Automatic,Petrol,,- (g/km),8348.0,"R/T 5.7l HEMI V8, 2022, 20"", CARFAX"
78941,hyundai,Hyundai i30,silver,04/2016,2016,11900,99,135,Manual,Petrol,"5,9 l/100 km",133 g/km,113000.0,blue Kombi 1.6 GDi Passion
14788,audi,Audi Q5,blue,08/2018,2018,40999,185,252,Automatic,Petrol,"6,9 l/100 km",157 g/km,30250.0,Sport 2.0 TFSI quatto S-Tronic Air-Suspension
70618,ford,Ford S-Max,white,09/2019,2019,15999,140,190,Automatic,Diesel,5 l/100 km,132 g/km,193000.0,Titanium 2.0TDCI Titanium LED Navi Alu 1Hd
24001,bmw,BMW Z3,black,04/2001,2001,7200,87,118,Manual,Petrol,"7,9 l/100 km",- (g/km),134000.0,Z3 roadster 1.9i
65380,ford,Ford S-Max,grey,05/2017,2017,20450,154,209,Automatic,Diesel,"5,5 l/100 km",144 g/km,146000.0,2.0 TDCi Titanium X Bi-Turbo ST-Line LED
47292,citroen,Citroen Berlingo,beige,10/2022,2022,31480,96,131,Manual,Diesel,"5,5 l/100 km",143 g/km,5.0,BlueHDi130 S&SFEEL PACK XL SOFORT VERFÜ
82076,hyundai,Hyundai IONIQ,grey,06/2021,2021,26480,100,136,Automatic,Electric,,311 km Reichweite,16800.0,Style Elektro Navi Klimaaut SHZ LHZ Kamera
48424,dacia,Dacia Logan,red,05/2017,2017,10450,66,90,Manual,Petrol,"4,9 l/100 km",109 g/km,44500.0,Stepway Prestige II
95161,land-rover,Land Rover Discovery,grey,02/2019,2019,31900,132,179,Automatic,Diesel,"6,4 l/100 km",169 g/km,68000.0,Sport HSE TD4 7 Sitzer!
8756,audi,Audi A3,grey,03/2014,2014,10490,77,105,Manual,Diesel,"3,8 l/100 km",101 g/km,200000.0,Lim Ambition Nav Xenon PDC Temp Sportsitze LM
10444,audi,Audi A3,black,05/2015,2015,14690,92,125,Manual,Petrol,"5,1 l/100 km",121 g/km,117500.0,1.4 TFSI Sportback Attract. *Klima*AHK*1.Hand
12929,audi,Audi A6,blue,12/2017,2017,33500,200,272,Automatic,Diesel,"5,3 l/100 km",- (g/km),107000.0,Avant 3.0 TDI quattro S tronic
75025,ford,Ford Fiesta,grey,02/2023,2023,27850,114,155,Manual,Petrol,"5,9 l/100 km",133 g/km,150.0,1.0 EcoBoost Hybrid ST-LINE VIGNALE
45473,citroen,Citroen Grand C4 SpaceTourer,,09/2019,2019,16950,96,131,Automatic,Diesel,4 l/100 km,106 g/km,139000.0,1.5 BlueHDi Feel Automatik EU6d Navi Klima
36969,bmw,BMW X3,white,10/2017,2017,26990,140,190,Automatic,Diesel,"4,9 l/100 km",129 g/km,83712.0,xDrive20d xLine Autom. Standheizung
26976,bmw,BMW 118,black,05/2008,2008,6099,105,143,Manual,Diesel,"4,5 l/100 km",119 g/km,201300.0,- M-Paket - Navi - Sitzheizung - TÜV 05.25 - usw.
36472,bmw,BMW 220,black,05/2017,2017,24680,135,184,Manual,Petrol,"6,5 l/100 km",154 g/km,71657.0,i M SPORT CABRIO *NAVI*XENON*LEDER* M Sport
1565,aston-martin,Aston Martin DB11,green,10/2017,2017,160000,447,608,Automatic,Petrol,"11,4 l/100 km",265 g/km,22800.0,V12 Coupe
74070,ford,Ford Focus,grey,10/2022,2022,30980,114,155,Manual,Petrol,,- (g/km),2050.0,FOCUS ST-LINE+NAVIGATION+ACC+KAMERA+AHK+LED+FGS!
45649,citroen,Citroen C5 Aircross,white,10/2019,2019,23990,133,181,Automatic,Petrol,"5,7 l/100 km",131 g/km,87529.0,FEEL 180 S&S EAT8 Navi Kamera LED LM-Felgen
56120,fiat,Fiat Tipo,blue,06/2022,2022,17490,74,101,Manual,Petrol,"5,1 l/100 km",117 g/km,10.0,Lim 1.0 /KLIMA/TEMPOMAT/BLUETOOTH
63653,ford,Ford Mondeo,grey,06/2016,2016,14850,110,150,Automatic,Diesel,,- (g/km),86450.0,Mondeo Turnier 2.0 TDCi Start-Stopp
79133,hyundai,Hyundai i30,blue,03/2017,2017,14290,88,120,Manual,Petrol,5 l/100 km,115 g/km,50000.0,"i30 1.0 T-GDI Premium,NAVI, KAMERA, SPURHALTESYST."
52867,fiat,Fiat Grande Punto,black,04/2009,2009,2300,48,65,Manual,Petrol,"5,9 l/100 km",139 g/km,164000.0,1.2 8V Active
85087,jaguar,Jaguar XF,black,06/2019,2019,34950,132,179,Automatic,Diesel,"5,7 l/100 km",151 g/km,29900.0,SB 20D AWD CHEQ. FLAG MY2020 APPROVED
80432,hyundai,Hyundai i10,white,09/2018,2018,7990,49,67,Manual,LPG,"5,1 l/100 km",- (g/km),123000.0,i10 1.0 LPG
64879,ford,Ford Transit Custom,white,02/2016,2016,16800,114,155,Manual,Diesel,7 l/100 km,186 g/km,278000.0,330 L2 /Tourneo Custom Retungswangen
83535,hyundai,Hyundai TUCSON,red,03/2023,2023,47990,132,179,Automatic,Hybrid,"1,4 l/100 km",31 g/km,15.0,N Line Plug-In Hybrid 4WD +ECS FAHRWERK
96050,land-rover,Land Rover Range Rover Sport,black,10/2020,2020,129900,423,575,Automatic,Petrol,"12,7 l/100 km",290 g/km,53200.0,SVR CARBON BLACK EDITION 575PS
43350,cadillac,Cadillac XT4,black,10/2022,2022,46750,128,174,Automatic,Diesel,"5,8 l/100 km",152 g/km,25.0,350 D Sport AWD Komfort- Assistenzpaket
45423,citroen,Citroen Grand C4 SpaceTourer,grey,10/2019,2019,26850,120,163,Automatic,Diesel,"6,6 l/100 km",172 g/km,35130.0,Grand Spacetourer BlueHDi 160  EAT8 SHINE
22062,audi,Audi A3,yellow,05/2023,2023,40490,110,150,Automatic,Petrol,"5,7 l/100 km",130 g/km,99.0,Sportback S-Line 35 TFSI 150PS S-Tronic Komfortkli
58756,ford,Ford Fiesta,silver,10/2007,2007,2900,51,69,Manual,Petrol,,- (g/km),135000.0,Fun X
45456,citroen,Citroen Berlingo,green,03/2019,2019,21140,81,110,Manual,Petrol,"5,7 l/100 km",151 g/km,26913.0,M 110 1.2 PureTech Live**** PDC hinten+Klimaautoma
79060,hyundai,Hyundai iX20,white,09/2016,2016,9398,66,90,Manual,Petrol,"5,6 l/100 km",133 g/km,79900.0,1.4 blue Classic Klima
54871,fiat,Fiat 500X,black,08/2019,2019,13990,88,120,Manual,Petrol,6 l/100 km,138 g/km,38100.0,Urban 1.0 GSE EU6d-T Klima PDC Alu EFH
46396,citroen,Citroen Berlingo,blue,05/2021,2021,40900,96,131,Automatic,Petrol,,- (g/km),20954.0,Behindertengerecht
33108,bmw,BMW 318,blue,03/2015,2015,15790,105,143,Manual,Diesel,"4,3 l/100 km",114 g/km,116627.0,d**1.HAND+SCHECKHEFTGEPFLEGT+KLIMAAUTO+SH**
317,alfa-romeo,Alfa Romeo MiTo,black,07/2009,2009,7650,114,155,Manual,Petrol,"6,5 l/100 km",153 g/km,70850.0,"1.4 T-jet 155PS „TÜV, KD NEU“"
95560,land-rover,Land Rover Range Rover Velar,black,07/2019,2019,67980,405,551,Automatic,Petrol,"11,8 l/100 km",279 g/km,97338.0,P550 SV Autobiography Dynamic
80548,hyundai,Hyundai i10,blue,10/2019,2019,14990,64,87,Manual,Petrol,"5,5 l/100 km",125 g/km,26880.0,1.2 YES! SHZ LHZ DAB Klima Tempomat
7078,audi,Audi A1,silver,03/2012,2012,10000,63,86,Manual,Petrol,5 l/100 km,- (g/km),100200.0,A1 1.2 TFSI Ambition
9147,audi,Audi A6,black,03/2014,2014,18600,180,245,Automatic,Diesel,"5,9 l/100 km",- (g/km),194000.0,A6 Avant 3.0 TDI DPF quattro S tronic
32876,bmw,BMW 218,silver,12/2014,2014,15900,110,150,Manual,Diesel,"4,1 l/100 km",109 g/km,100122.0,d Active Tourer Sport Line / Navi / LED / Kamera
18824,audi,Audi Q8,grey,05/2020,2020,32900,210,286,Automatic,Diesel,"6,8 l/100 km",179 g/km,92500.0,50 TDI qu.3x S LINE*PANO*MATRIX*AHK*KAMERA*
94954,land-rover,Land Rover Range Rover,black,11/2018,2018,83500,190,258,Automatic,Diesel,"6,9 l/100 km",182 g/km,47000.0,3.0 TDV6 Shadow
28123,bmw,BMW 325,grey,06/2010,2010,8600,150,204,Manual,Diesel,"5,8 l/100 km",- (g/km),252000.0,325d DPF Touring Edition Exclusive
66887,ford,Ford Focus,grey,10/2018,2018,20300,184,250,Manual,Petrol,"6,8 l/100 km",159 g/km,67500.0,Turnier 2.0 EcoBoost ST mit Leder-Sport-Paket
88580,kia,Kia Sportage,black,03/2016,2016,13990,99,135,Manual,Petrol,"6,8 l/100 km",158 g/km,78000.0,"1.6 GDI 2WD Vision ""78 Tkm"""
93793,lamborghini,Lamborghini Urus,black,02/2020,2020,359650,478,650,Automatic,Petrol,,- (g/km),3410.0,"Full Carbon, Akrapovic, Rear Seat, B&0"
61044,ford,Ford C-Max,grey,06/2013,2013,10750,85,116,Manual,Diesel,,- (g/km),89000.0,"1,6 *Garantie*Klima*135€ mtl."
61155,ford,Ford Focus,black,11/2013,2013,4999,92,125,Manual,Petrol,"5,1 l/100 km",121 g/km,119500.0,Turnier Trend KLIMA EURO5 J-
58947,ford,Ford Focus,black,05/2008,2008,4500,100,136,Manual,Diesel,"5,9 l/100 km",156 g/km,176655.0,Cabrio Black Magic
