Model,R2,RMSE,MAE
LinearRegression,0.770337069725441,8172.682160928557,5443.226758082331
DecisionTreeRegressor,0.8156710331429866,7321.7678213107865,4012.8942600017667
RandomForestRegressor,0.904213641137842,5278.01950520512,2940.542652868186
GradientBoostingRegressor,0.8629257294231844,6313.8917282719785,3849.950802431775
PolynomialRegression,0.848197907984589,6644.434688079799,4113.20384989076
